variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
finish_source,选中一个源后连续清除,50,635,635,50,0,623.3055430745917,798.4747786212578,5,43,2,84.97031029322204,boundary_endpoint_10028,23.12066515935322,-3.7762720420158713,-5.345525266366735,-0.6635461138830179,7915.980397047314,635.382305796105,27643.901985236582,5528.780397047314,391.4,364.22,27.18,351.52,10.72,2.76,15.46,0.02,2315.4199999999996,71.77999999999999,212.99898374840603,358.42,boundary,endpoint
early120,提前清除（120 m）,50,635,635,50,0,601.1364104858478,757.252235064291,4,19,27,17.016456695029774,boundary_endpoint_10024,0.8953003248041944,-0.14622838756861434,-0.25604280484679,0.22632580628568766,7634.432413170268,613.156940961556,26308.36206585134,5261.672413170268,387.94,361.1,26.84,348.4,10.34,3.42,16.12,0.02,2298.9999999999995,73.76000000000016,157.88026006809991,359.3,boundary,endpoint
probe_loose,放宽顺路探测门槛,50,635,635,50,0,599.1390898078838,757.252235064291,7,4,39,5.142671468011486,boundary_endpoint_10016,-1.0972505146837546,0.1792126832480645,0.32559987001866686,-0.07201275654544759,7609.066440560124,611.164390122068,26155.73220280062,5231.146440560125,389.1,361.72,27.38,349.02,10.7,2.92,15.62,0.02,2305.6599999999994,72.26000000000019,156.33556103494195,360.16,boundary,endpoint
full_compact,A + B + C + 外圈微调,50,635,635,50,0,597.5241777259159,754.396467940998,24,26,0,41.183398786902444,boundary_endpoint_10027,-2.436389237537917,0.39793269344852167,0.8089887609397994,-0.13888174476621717,7588.557057119132,609.8252513992138,26028.885285595665,5205.777057119132,389.36,364.12,25.24,351.42,10.2,3.66,16.36,0.0,2308.2999999999993,74.4800000000001,131.78800527928783,361.5,boundary,endpoint
early220,提前清除（220 m）,50,635,635,50,0,605.4123885740696,763.6821739011881,6,37,7,58.349502636429406,boundary_endpoint_10021,5.298330717770165,-0.865370352495054,-1.216459492310662,0.23146957461035456,7688.737334890685,617.559971354522,26560.38667445342,5312.077334890684,387.92,361.32,26.6,348.62,10.1,4.7,17.4,0.02,2299.0599999999995,77.60000000000014,164.19429814211554,359.46,boundary,endpoint
compact,仅外圈半径 1950→1900 m,50,635,635,50,0,596.2683530680476,746.5793986452908,33,17,0,38.723646677543,boundary_endpoint_10035,-4.262961103904695,0.6962646066592026,1.290845512182015,-0.7612777120518333,7572.608083964205,607.9986795328471,25902.440419821025,5180.488083964205,391.78,364.28,27.5,351.58,11.98,2.64,15.34,0.0,2320.6999999999994,71.42000000000006,226.88265955541655,361.8,boundary,endpoint
center_route,按源中心规划联合路线,50,635,635,50,0,629.1611697168097,797.8599281399064,7,43,0,101.77732805176015,boundary_endpoint_10045,28.900527373471576,-4.720290388177006,-6.50375202249418,-1.147060336402439,7990.346855403483,641.1621680102231,27947.834277017428,5589.5668554034855,393.28,365.22,28.06,352.52,11.32,2.96,15.66,0.04,2328.399999999999,72.38,84.41627424511552,362.0,boundary,endpoint
every_stop,A + B + C，每次停车扫未知频道,50,635,635,50,0,815.0229345081771,1068.5047246732163,0,50,0,360.12310835614494,boundary_endpoint_10023,219.2910167498223,-35.816553282965714,0.43030502585066355,-118.18322102772494,10350.79126825385,831.552657386574,26128.25634126925,5225.65126825385,848.34,824.34,24.0,811.64,7.96,3.9,16.6,0.02,5049.94,75.20000000000006,166.76677973521512,808.24,boundary,endpoint
proxy_compact,源中心路线 + 外圈微调,50,635,635,50,0,616.769094337334,754.5749546418614,14,36,0,110.13364414594821,boundary_endpoint_10016,16.20974025628753,-2.6475185084973596,-3.667381962291527,-0.8692968468700268,7832.967498084141,628.4713808930393,27203.5374904207,5440.70749808414,392.2,363.98,28.22,351.28,12.96,2.34,15.04,0.0,2321.7399999999993,70.52,128.506307074371,360.74,boundary,endpoint
proxy_reuse_early_compact,源中心路线 + B + C + 外圈微调,50,635,635,50,0,624.5757545622183,768.5589597138993,12,38,0,113.37082469629934,boundary_endpoint_10016,23.906594876298655,-3.9046370521327978,-5.4459721062736,-0.9361658350907742,7932.1120829401725,636.1682355130505,27670.26041470086,5534.052082940171,392.46,364.28,28.18,351.58,13.14,3.58,16.28,0.0,2323.8199999999997,74.2400000000001,120.73417311349641,361.52,boundary,endpoint
nearest,A 就近任务调度,50,635,635,50,0,582.0601631587929,753.44329940012,12,38,0,123.32453780504619,directional_endpoint_10019,25.72843045120676,-4.526761788600209,-5.558575248523501,-1.2740089245295128,7392.16407211667,594.0912392917123,27293.920360583346,5458.7840721166685,313.2,274.42,38.78,261.72,6.42,7.46,20.16,0.1,1847.5000000000007,85.88000000000002,778.5315388076177,281.5,directional,endpoint
baseline,冻结基线 TRI25 + V4,50,635,635,50,0,557.3473785660228,691.7952369226293,0,0,50,0.0,directional_endpoint_10000,0.0,0.0,0.0,0.0,7078.311707788489,568.3628088405055,25856.65853894244,5171.331707788489,309.26,272.88,36.38,260.18,5.88,5.3,18.0,0.06,1827.58,79.39999999999996,418.79780907001856,281.28,directional,endpoint
early160,C 提前清除（160 m）,50,635,635,50,0,554.076710590971,690.162501770462,24,24,2,63.45379175457549,directional_endpoint_10025,-2.405925830718461,0.4233081041362885,0.4934412396080945,1.2093384207462976,7036.774224505331,565.956883009787,25729.071122526657,5145.814224505331,305.52,270.94,34.58,258.24,6.06,6.36,19.06,0.04,1808.3800000000003,82.57999999999994,443.7750270472154,280.78,directional,endpoint
reuse,B 覆盖站复用定位,50,635,635,50,0,556.5496680585992,696.2051040128639,23,24,3,66.86128600701818,directional_endpoint_10015,-1.0027593275807294,0.17642944119202753,0.466628806810776,-0.5302981310224331,7068.18078434421,567.3600495129249,25736.003921721043,5147.200784344209,310.9,275.04,35.86,262.34,6.02,6.3,19.0,0.18,1838.58,82.40000000000002,345.3705736740615,284.08,directional,endpoint
nearest_reuse,A + B,50,635,635,50,0,574.8832511712549,735.686082541232,15,35,0,101.44683589191379,directional_endpoint_10027,18.516201184027455,-3.257813652832353,-3.830842678068458,-1.1058656146931467,7301.017289874937,586.8790100245329,26847.186449374687,5369.437289874937,312.68,274.72,37.96,262.02,6.58,7.36,20.06,0.12,1846.0000000000002,85.57999999999998,774.5991762625993,282.6,directional,endpoint
nearest_early,A + C,50,635,635,50,0,577.8418877314125,742.6156626106078,11,39,0,93.23099633535071,directional_endpoint_10027,22.58907747292501,-3.9744116120138173,-4.953468098258873,0.05820345340490363,7338.591974188939,590.9518863134305,27137.459870944684,5427.491974188938,309.08,273.48,35.6,260.78,6.2,6.78,19.48,0.04,1827.2600000000002,83.84000000000022,753.4336794656588,281.86,directional,endpoint
full,A + B + C,50,635,635,50,0,573.2998483539689,726.5044092587297,14,36,0,83.74666357478179,directional_endpoint_10012,17.55253393142555,-3.0882622258894266,-3.636903933732505,-0.07113755416154888,7280.908074095405,585.915342771931,26797.04037047703,5359.408074095405,309.48,274.0,35.48,261.3,6.42,9.16,21.86,0.08,1830.5200000000002,90.9800000000002,710.2222307051119,283.12,directional,endpoint
reuse_early,B + C,50,635,635,50,0,556.3796971293824,687.2848396189526,24,26,0,63.55793588046936,directional_endpoint_10001,-0.36114699485375357,0.06354163031718763,-0.26821806332353315,1.9853844661449904,7066.022153543156,568.0016618456517,25926.01076771578,5185.202153543155,303.12,268.7,34.42,256.0,6.32,7.46,20.16,0.1,1794.9400000000003,85.8800000000001,484.85449044355045,279.34,directional,endpoint
probe_off,关闭已发现频道顺路探测,50,635,635,50,0,579.6892934011126,719.5023918406799,5,45,0,99.22258909591676,directional_endpoint_10045,22.609502236287227,-3.9780052256430887,-5.081134478569571,-0.808381297290306,7362.054026194131,590.9723110767927,27170.47013097065,5434.094026194131,311.76,273.86,37.9,261.16,7.24,8.24,20.94,0.18,1839.7400000000002,88.22000000000017,347.41296068372196,280.94,directional,endpoint
early220,提前清除（220 m）,50,635,635,50,0,554.1367393623495,699.7671736319179,26,24,0,62.38209210331206,directional_endpoint_10025,-2.000772098720197,0.3520237544750615,0.46438943087872,1.3839487809609974,7037.53658990184,566.3620367417852,25736.582949509197,5147.3165899018395,304.98,271.1,33.88,258.4,6.46,6.76,19.46,0.04,1806.4400000000003,83.77999999999993,432.7073569661758,281.54,directional,endpoint
