variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,N
F120,F 连续处理当前源（120 m）,40,480,480,40,0,581.5431498576866,644.3541224639998,9,17,14,34.25783976618345,mixed_endpoint_50048,0.541032523079646,-0.09312057683397157,0.1463295259153008,-0.7939003301367542,6978.517798292238,581.5431498576866,25018.463991461194,5003.692798292239,320.575,286.775,33.8,274.775,4.325,6.925,18.925,0.05,1894.05,80.77499999999976,417.3465561302834,291.175,12
F60,F 连续处理当前源（60 m）,40,480,480,40,0,581.0021173346069,645.4861595660847,0,0,40,0.0,mixed_endpoint_50023,0.0,0.0,0.0,0.0,6972.025408015283,581.002117334607,25055.12704007641,5011.025408015283,318.05,284.675,33.375,272.675,4.575,6.775,18.775,0.025,1880.6750000000004,80.3249999999999,440.59008890537524,290.425,12
C15,C 局部光学代价比 ≤1.5,40,480,480,40,0,571.2956176446125,636.575540174635,40,0,0,-0.3695503992197473,mixed_smooth_50036,-9.706499689994398,1.6706479030616506,2.2790344686191677,1.6113818581984019,6855.54741173535,571.2956176446125,24484.11205867675,4896.82241173535,312.925,284.725,28.2,272.725,3.9,15.45,27.45,5.375,1852.375,106.34999999999994,433.3722793950692,287.75,12
C1,C 局部光学代价比 ≤1.0,40,480,480,40,0,576.6489256823639,639.767803237939,34,2,4,0.003623503213702861,boundary_endpoint_50036,-4.353191652242927,0.7492557294306423,0.9127533010260591,0.6995755384373581,6919.787108188367,576.648925682364,24826.435540941842,4965.287108188369,315.825,284.675,31.15,272.675,4.4,8.775,20.775,2.1,1868.175,86.32499999999975,442.36107253817136,289.05,12
PC,P + C,40,480,480,40,0,552.352029479898,594.2967394888157,35,5,0,7.831180461070517,mixed_endpoint_50048,-28.650087854709007,4.931150334897838,6.467260248533934,1.9808206256877847,6628.224353758776,552.352029479898,23434.746768793877,4686.949353758775,311.75,282.825,28.925,270.825,3.0,11.25,23.25,5.45,1847.5250000000003,93.74999999999987,418.40776481999893,288.775,12
M75,M 后验质量试清除（0.75）,40,480,480,40,0,579.7689101542735,647.5914295842658,20,20,0,57.34568723437894,directional_endpoint_50046,-1.2332071803333833,0.21225519555606587,0.5776958567740742,-1.045433108001892,6957.226921851283,579.7689101542735,24910.384609256413,4982.076921851282,321.375,287.275,34.1,275.275,3.975,5.4,17.4,0.05,1898.9500000000007,76.19999999999993,390.9732814839453,292.075,12
LC,L + C,40,480,480,40,0,564.6348991401079,646.0106468760705,28,12,0,81.21706039088963,directional_endpoint_50046,-16.367218194499127,2.817066875691432,3.644096835787425,2.2323534035529113,6775.618789681294,564.6348991401079,24142.093948406466,4828.418789681294,310.95,287.575,23.375,275.575,4.35,13.9,25.9,4.725,1845.5000000000005,101.70000000000002,598.8222514003943,290.75,12
LPC,L + P + C,40,480,480,40,0,555.680130890562,643.0990319885566,32,8,0,70.44217711258227,directional_endpoint_50046,-25.321986444044903,4.3583294601767575,6.058916341611442,1.7528690457475182,6668.161570686745,555.680130890562,23537.05785343372,4707.411570686743,312.475,288.275,24.2,276.275,4.0,15.125,27.125,4.725,1855.375,105.37500000000004,585.112878460113,293.0,12
M50,M 后验质量试清除（0.50）,40,480,480,40,0,581.1787377023228,644.9344352437265,19,21,0,24.79435225538566,boundary_endpoint_50048,0.17662036771587566,-0.030399264038161178,0.02854816072416222,-0.11790598962426735,6974.144852427873,581.1787377023228,25047.974262139367,5009.594852427874,318.425,284.65,33.775,272.65,4.2,7.35,19.35,0.15,1882.5,82.04999999999995,454.67731476937223,290.375,12
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,88,1144,1144,88,0,509.3422043807873,604.6181109599562,67,21,0,68.15868170722979,mixed_smooth_50007,-18.961567112787886,3.5891409707679234,4.5791881764760785,1.3026090268520418,6621.448656950234,509.3422043807872,23977.86828475118,4795.573656950235,294.46590909090907,264.9318181818182,29.53409090909091,251.9318181818182,5.340909090909091,5.0,18.0,0.011363636363636364,1745.875,79.9999999999999,263.98711927468537,273.54545454545456,13
baseline,冻结基线 TRI25 + V4,88,1144,1144,88,0,528.3037714935753,594.644743805301,0,0,88,0.0,mixed_endpoint_50005,0.0,0.0,0.0,0.0,6867.949029416478,528.3037714935753,25128.5519652642,5025.71039305284,298.35227272727275,263.14772727272725,35.20454545454545,250.14772727272728,4.261363636363637,4.3522727272727275,17.352272727272727,0.011363636363636364,1764.1818181818182,78.05681818181814,433.15996485916634,272.42045454545456,13
L30,L 局部完成代价（惩罚30 s）,88,1144,1144,88,0,517.0330306161839,572.3884568273173,56,32,0,51.172372930148015,directional_endpoint_50011,-11.270740877391251,2.133382626727731,2.3105570168522993,2.1100742715673304,6721.429398010389,517.033030616184,24547.942444597415,4909.588488919482,292.0568181818182,263.75,28.306818181818183,250.75,4.034090909090909,5.170454545454546,18.170454545454547,0.06818181818181818,1731.3295454545455,80.51136363636368,537.7499732483911,271.04545454545456,13
S_all,S 不限制单站补测数量,88,1144,1144,88,0,521.4693228214289,591.7851623197221,51,36,1,58.91439656985267,directional_endpoint_50005,-6.834448672146271,1.2936588835670393,2.5108637776510845,-1.8396495905541599,6779.101196678576,521.4693228214289,24497.608256120155,4899.52165122403,303.84090909090907,264.2386363636364,39.60227272727273,251.23863636363637,4.465909090909091,5.556818181818182,18.556818181818183,0.03409090909090909,1797.909090909091,81.67045454545458,437.8644218696556,278.70454545454544,13
L90,L 局部完成代价（惩罚90 s）,88,1144,1144,88,0,519.8990046792828,596.5312282412242,56,32,0,76.26494687038843,directional_endpoint_50011,-8.40476681429242,1.5908966143722947,1.8376084265494197,1.5159017330032443,6758.687060830677,519.8990046792828,24666.787576880655,4933.357515376131,293.82954545454544,266.79545454545456,27.03409090909091,253.79545454545453,3.534090909090909,5.8977272727272725,18.897727272727273,0.07954545454545454,1742.6363636363637,82.69318181818167,420.42771425850515,273.4886363636364,13
P1,P 每站最多补测1次,88,1144,1144,88,0,523.0620843870261,590.668608082875,53,34,1,55.0335932142022,directional_endpoint_50011,-5.241687106549013,0.9921729484781538,1.6111449229468278,-0.6970100933155532,6799.807097031339,523.0620843870262,24723.694576065798,4944.738915213158,300.4318181818182,262.72727272727275,37.70454545454545,249.72727272727272,4.670454545454546,3.965909090909091,16.96590909090909,0.011363636363636364,1778.1704545454545,76.89772727272738,395.8474923152424,276.0113636363636,13
C15,C 局部光学代价比 ≤1.5,88,1144,1144,88,0,517.1419853046199,591.9069202606647,83,5,0,5.268378015406995,omni_endpoint_50015,-11.161786188955347,2.1127591342760432,2.576542895742251,2.323366977718533,6722.845808960058,517.1419853046199,24481.10404480029,4896.220808960057,291.42045454545456,261.29545454545456,30.125,248.29545454545453,3.534090909090909,12.5,25.5,5.409090909090909,1724.125,102.50000000000009,437.902579845362,267.02272727272725,13
F60,F 连续处理当前源（60 m）,88,1144,1144,88,0,528.3251006844343,594.644743805301,1,2,85,2.1443574207725646,omni_endpoint_50017,0.02132919085918352,-0.004037296723957695,-0.0030300090785528866,-0.003808798324134166,6868.226308897647,528.3251006844343,25129.31336267005,5025.862672534011,298.3636363636364,263.14772727272725,35.21590909090909,250.14772727272728,4.261363636363637,4.363636363636363,17.363636363636363,0.011363636363636364,1764.2727272727273,78.09090909090902,433.15996485916634,272.45454545454544,13
F120,F 连续处理当前源（120 m）,88,1144,1144,88,0,531.2595321754292,605.7416830994208,28,38,22,66.7757178082635,mixed_endpoint_50090,2.955760681854039,-0.5594812759897039,-0.8088838872922555,0.09141115977909786,6906.373918280579,531.2595321754293,25331.812773221078,5066.362554644216,298.07954545454544,263.25,34.82954545454545,250.25,4.5,4.5,17.5,0.045454545454545456,1761.5113636363637,78.49999999999991,364.56337467912914,271.1136363636364,13
P2,P 每站最多补测2次,88,1144,1144,88,0,521.4041225181093,591.7851623197221,52,35,1,58.91439656985267,directional_endpoint_50005,-6.899648975465882,1.3060003255248254,2.4549216969091847,-1.6301656827270916,6778.253592735421,521.4041225181093,24511.66569094983,4902.333138189966,303.21590909090907,264.0113636363636,39.20454545454545,251.01136363636363,4.420454545454546,5.465909090909091,18.46590909090909,0.045454545454545456,1794.5227272727273,81.39772727272731,469.0701093831216,278.4431818181818,13
C1,C 局部光学代价比 ≤1.0,88,1144,1144,88,0,522.9873602657719,594.1697406274955,70,4,14,0.86145707352199,mixed_smooth_50007,-5.316411227803298,1.006317106685295,1.070173095951621,1.2645210436107557,6798.835683455035,522.9873602657718,24859.63296272972,4971.926592545944,294.57954545454544,261.60227272727275,32.97727272727273,248.60227272727272,3.8295454545454546,6.659090909090909,19.65909090909091,1.875,1741.9318181818182,84.97727272727276,421.7396773727838,269.03409090909093,13
M50,M 后验质量试清除（0.50）,88,1144,1144,88,0,527.4085564148203,597.9699620495164,45,43,0,48.9233656634911,mixed_smooth_50044,-0.8952150787548958,0.16945082111076148,-0.02190417381282561,0.6513045134260098,6856.311233392664,527.4085564148203,25134.056166963317,5026.811233392664,296.40909090909093,261.27272727272725,35.13636363636363,248.27272727272728,4.295454545454546,3.9545454545454546,16.954545454545453,0.022727272727272728,1752.6363636363637,76.86363636363643,418.659583648211,270.59090909090907,13
LC,L + C,88,1144,1144,88,0,511.49116749023005,568.6354067629824,64,24,0,47.3221741238595,directional_endpoint_50011,-16.812604003345093,3.1823744047508873,3.7470096228345295,3.378404113502209,6649.38517737299,511.4911674902301,24186.982705046772,4837.396541009355,288.27272727272725,264.10227272727275,24.170454545454547,251.10227272727272,3.8295454545454546,12.306818181818182,25.306818181818183,4.909090909090909,1710.0681818181818,101.92045454545469,527.0727637479287,268.70454545454544,13
M75,M 后验质量试清除（0.75）,88,1144,1144,88,0,528.5927004777266,595.121650085487,43,45,0,49.58830854650694,directional_endpoint_50044,0.2889289841513829,-0.054689934038254506,-0.01074808655521231,-0.5027613787849994,6871.705106210445,528.5927004777267,25131.252803779502,5026.2505607559,299.85227272727275,263.21590909090907,36.63636363636363,250.2159090909091,4.590909090909091,3.215909090909091,16.21590909090909,0.03409090909090909,1770.8068181818182,74.64772727272727,447.14748137511197,271.54545454545456,13
PC,P + C,88,1144,1144,88,0,514.3141032903271,582.1220461368741,64,24,0,38.00602880263688,mixed_endpoint_50095,-13.989668203248074,2.648034891686979,3.730630537354429,1.2188154637212123,6686.083342774253,514.3141032903271,24191.09853205308,4838.219706410616,294.71590909090907,262.7613636363636,31.954545454545453,249.76136363636363,3.875,12.284090909090908,25.28409090909091,5.636363636363637,1746.0113636363637,101.8522727272726,358.280692274888,272.4318181818182,13
LPC,L + P + C,88,1144,1144,88,0,506.35733731277554,570.5414724447821,70,18,0,60.7430066546201,directional_endpoint_50005,-21.946434180799688,4.154131650197124,5.412785373659856,2.3843077509045907,6582.645385066082,506.35733731277554,23768.397379875863,4753.679475975173,291.2386363636364,265.79545454545456,25.443181818181817,252.79545454545453,3.647727272727273,11.761363636363637,24.761363636363637,5.431818181818182,1728.6818181818182,100.28409090909089,389.11536049557566,272.4886363636364,13
baseline,冻结基线 TRI25 + V4,42,588,588,42,0,494.746446796793,561.4444047259702,0,0,42,0.0,mixed_endpoint_50001,0.0,0.0,0.0,0.0,6926.450255155102,494.7464467967931,26010.2274662517,5202.045493250341,276.42857142857144,238.1904761904762,38.23809523809524,224.1904761904762,4.738095238095238,7.619047619047619,21.61904761904762,0.11904761904761904,1631.5476190476195,92.8571428571429,412.9433988966828,249.4047619047619,14
