scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
mixed_endpoint_50020,baseline,50020,mixed,endpoint,56aa805bae245cd1bacad60b2da54f34dd6361d7eee6a2fc398cf60dd397594c,10,10,6335.763033604191,633.5763033604192,21583.81516802096,7921.100555890002,332,12,10,0,25,,True,7,59,0.9230334999447224,0.9666507999936584,302,292,30,2,1962.9999999999989,56.00000000000036,4316.763033604192,325.7873266953584,2,303,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,9c6b9e00c8374f76ce7dd9971a21bb49319a66584e71e38bdf29fe79c0438e07,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50021,baseline,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6996.918044806206,636.083458618746,24014.590224031028,8969.36256678767,359,15,11,0,25,,True,9,63,0.7712545999675058,0.8150716999953147,326,315,33,3,2127.0,66.99999999999969,4802.918044806208,0.0,4,332,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,f09ea18c80420a43ce25307c2de53e8ead40511a2dc299d92e1370af1844c1d9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50022,baseline,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6954.621948242108,695.4621948242109,25648.109741210545,9535.695862421897,300,11,10,0,25,,True,7,56,0.7166344000142999,0.7564707999990787,272,262,28,2,1771.9999999999986,53.0000000000001,5129.621948242108,904.7926366196843,1,272,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,3bd46351ea71ce626f5aa65b616d94db55e75405e3e5102b6ee1bc91f9ef527b,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50023,baseline,50023,mixed,endpoint,93b8612c277d3369a2491d82d03ee8ee28ce2c320b2288683729ca3754852d84,12,12,7302.142482454829,608.5118735379025,27300.71241227414,12193.674682252777,301,17,12,0,25,,True,7,83,1.210655500239227,1.2597871999896595,252,240,49,12,1767.0000000000005,74.9999999999996,5460.142482454829,447.9418514095869,5,262,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,654c7bb5d4b7b724beb6ee790d591fdda54c682a6e5419a1fca9960cb42a4e13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50024,baseline,50024,mixed,endpoint,2d8ee688a0e7b609ece9cbc7da19b371fb662b1cf1c6466e7c747fb0a7cfc405,13,13,6835.512972376563,525.8086901828126,25567.5648618828,8276.650939688147,279,14,13,0,25,,True,6,62,0.812138500099536,0.8515223000140395,249,236,30,1,1654.000000000001,68.00000000000044,5113.512972376563,341.1485305512024,1,259,2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,fa0dd62dca9be191d817b228c9d27e7e229c40ee2c9002f25fefd34d6b8e9f47,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50025,baseline,50025,mixed,endpoint,af8d32939189e4d9da987770e9f14a6ba322513b245e0c183cfc9f853a047483,14,14,6634.006084916021,473.8575774940015,25480.03042458009,10860.269254214048,244,25,14,1,25,,True,12,73,1.0266894001106266,1.0826651999959722,201,187,43,8,1435.000000000001,103.00000000000068,5096.006084916022,356.2068492878743,11,215,2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,115c0d0fb4734951bd74dcb2e3a03fa69550b4062299542fa2cc4acd59b29ee3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50026,baseline,50026,mixed,endpoint,ecefd353b3fb48273c446ab76597cf262a57db6062c69bd625980bc16a6226bb,10,10,6318.812769936998,631.8812769936998,21984.063849684997,7754.020199240798,314,14,10,0,25,,True,6,60,0.924594299896853,0.9740078000177164,286,276,28,5,1859.9999999999995,61.99999999999995,4396.812769936999,124.7111349968036,4,290,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,962b6a89d5860cd59ce150c0039d1fbd48c39bec0ea2bb90752957f6d5c2ef0a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50027,baseline,50027,mixed,endpoint,01bf5eef6d94a47da78dea1f00b0da3ad5d918739b8069005211c5b993d3fca0,13,13,7189.751920228544,553.0578400175802,27068.759601142712,11964.355350257843,287,20,13,0,25,,True,8,82,1.2603099000407385,1.3189366000005975,241,228,46,9,1690.0000000000014,85.99999999999942,5413.751920228543,101.69073667659175,7,255,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,794ced1ca9174ac388c5aaa7557c4bc8d1ed35c7d678a969c60364db47e347dd,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50028,baseline,50028,mixed,endpoint,8c49cebb9fcb826e49ab9bd8039f6fceec725c16c55182cd331d2603ec1a6abd,10,10,6679.261962210873,667.9261962210874,23586.309811054365,9629.16200579559,319,17,10,1,25,,True,11,56,0.9639554999885148,1.0187488999799823,290,280,29,2,1890.9999999999995,71.00000000000153,4717.261962210873,221.1112894684702,7,296,0.0,True,943.0121947375768,17.74943008678929,1cde39abdb7fe4abfc74832d122ea3440b6edefc96d6b8aac99dfb27a0b70601,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50029,baseline,50029,mixed,endpoint,f2a12ca1825e052f673d8a45f9de882d636bededb649d122d38f31207b0cc1d2,15,15,6731.231476587459,448.7487651058306,25186.1573829373,9603.930420589311,273,18,15,0,25,,True,5,72,1.347792699962156,1.4067038999928627,238,223,35,4,1609.9999999999975,84.00000000000036,5037.231476587462,191.7606406862651,3,245,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,23e3db53702806874531db9be0ac4d98128c7d451013b6c3ee94da1bf8d534aa,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
