variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
P1,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,7016.895389160535,501.2068135114668,27329.47694580267,11504.233078018578,249,17,14,0,25,,True,20,67,1.3306749000621494,1.4118439999874681,203,189,46,6,1472.0000000000002,79.00000000000006,5465.895389160534,760.5661359087026,3,227,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,7321becc6321b9fdce50dc04563d280d7ee28d83dec821a939cf74373a881c03,20,0,0,0,20,0,0
F120,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6892.941115451967,492.3529368179976,25759.705577259843,10902.910599610848,282,17,14,0,25,,True,8,60,0.7330246001365595,1.2184032000077423,241,227,41,5,1662.0000000000014,78.99999999999855,5151.941115451967,0.0,3,252,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,c1d0ff599ddc9ceccae9d3bb9fcc0a68f3c4e46bec6ac81e60cfd2f1d83f0297,0,0,0,0,0,14,0
P2,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6974.5526441642505,498.1823317260179,27037.763220821253,11412.13284247375,251,18,14,0,25,,True,24,66,1.362991299974965,1.4511300999729428,203,189,48,6,1484.9999999999993,81.99999999999987,5407.5526441642505,760.5661359087026,4,230,0.0,True,943.0121947375769,17.74943008678929,bf1d82a5ff3ac9e63df62dcabcc4ceed48f569ad2e75312049e6ad3de58dc5c0,24,0,0,0,24,0,0
F60,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6691.9405469442845,477.9957533531632,25384.702734721417,11654.419251177907,262,17,14,0,25,,True,9,82,0.7006442000856623,1.6163359999773093,210,196,52,3,1536.0000000000005,78.99999999999967,5076.940546944284,479.2296325029747,3,226,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,6f47f9dc208d154001c585dfdcd107ba8cadc3c124347db3125a63ddea191554,0,0,0,0,0,2,0
LPC,mixed_smooth_50042,50042,mixed,smooth,61b17d1bbaa6105efcb1fa30abd5c6a807690da8066232e32d027295883d3962,15,15,6258.725795549211,417.2483863699474,23598.628977746048,8887.092311484857,224,62,15,8,25,,True,20,56,3.246053299983032,3.422733299987158,187,172,37,10,1323.0000000000005,216.0000000000001,4719.725795549212,275.39755062509994,47,203,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,02f5c3f72c0047b4e5273a7ce02068fa537d01bb6318917e7981442680f656d6,20,0,0,0,20,0,160
LC,mixed_smooth_50042,50042,mixed,smooth,61b17d1bbaa6105efcb1fa30abd5c6a807690da8066232e32d027295883d3962,15,15,6391.433197608661,426.0955465072441,24217.16598804329,9793.036059192615,225,63,15,7,25,,True,15,62,3.5111148998548742,3.6834499999822583,187,172,38,11,1329.0000000000014,219.00000000000108,4843.433197608661,275.68731154480065,48,204,3.637978807091713e-12,True,943.0121947375769,17.74943008678929,86e56ce378876a43795aa6d046176f09e83e4bd4cb31cfe0ebcade2b3cb55a00,0,0,0,0,0,0,210
C1,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6642.722472206002,474.480176586143,25183.61236103001,11446.367577215766,260,18,14,2,25,,True,9,81,1.8918796999496408,1.9575820000027306,210,196,50,3,1523.9999999999995,81.99999999999979,5036.722472206003,479.2296325029747,4,224,0.0,True,943.0121947375769,17.74943008678929,791c7814b16e6b0ae3b84e01ead769cb41de7d7a4ce7a12f60275fcdad53dfd4,0,0,0,0,0,0,3
C15,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,6649.791065412951,474.9850761009251,25108.95532706476,11377.191213761505,259,27,14,6,25,,True,9,78,1.8490773998491932,1.935806399997091,210,196,49,3,1519.0,108.99999999999807,5021.791065412953,480.98614676028865,13,224,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,0fc58e1932fba1bf1c63596a974f839df1de5830aa959c5246fcc16388b93c35,0,0,0,0,0,0,147
M50,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,7324.981002319056,523.2129287370755,28304.905011595285,11773.725736753182,270,15,14,0,25,,True,11,70,1.8759349998435937,1.9414872000052128,228,214,42,4,1590.9999999999982,72.99999999999982,5660.981002319057,0.0,1,241,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,5c80b8eeabf60dfd48929b5fc4a9f480197714b0ffc3d416151c583b42daa3d7,0,0,0,5,0,0,0
PC,mixed_smooth_50043,50043,mixed,smooth,ebdc1a27e3b6ec13236ec2879c195579863e17780ac93773dee2598ce28a47c3,14,14,7029.907243371173,502.13623166936947,25679.53621685587,10449.872737786995,297,35,14,10,25,,True,18,61,1.4723278000892606,1.5829844000109006,257,243,40,8,1761.000000000001,132.99999999999892,5135.907243371172,971.3094033900552,21,276,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,1c6ca5d9ef4652aa7c39f8c164953af0532763549f84a5f1d2924c211c55f7b5,18,0,0,0,18,0,122
