variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
C15,C 局部光学代价比 ≤1.5,200,2624,2624,200,0,499.50862362921475,680.8559580277251,194,6,0,25.2724579748496,mixed_endpoint_50106,-13.084250612152994,2.4837560238635814,3.225192789304676,2.4571072984265308,6553.553142015297,513.7086584514341,24093.69071007648,4818.738142015297,274.315,243.795,30.52,230.675,2.74,15.4,28.52,5.775,1623.015,111.79999999999994,384.0231364138101,251.44,mixed,endpoint
P1,P 每站最多补测1次,200,2624,2624,200,0,502.374759349125,690.481057754852,124,76,0,97.57823298695331,mixed_endpoint_50129,-9.418252932233582,1.7878473248577387,2.933914701054774,-0.6098319850653233,6591.15684266052,517.3746561313535,24166.209213302598,4833.24184266052,282.94,243.695,39.245,230.575,3.435,6.135,19.255,0.04,1673.91,84.005,381.3644324978596,259.21,mixed,endpoint
F120,F 连续处理当前源（120 m）,200,2624,2624,200,0,512.5481020964036,691.4210559440555,72,92,36,66.7757178082635,mixed_endpoint_50090,0.17192992171025878,-0.03263709870657827,-0.2126777113480749,0.4604853764779149,6724.631099504814,526.9648389852974,24949.605497524073,4989.921099504814,279.93,243.46,36.47,230.34,3.52,5.6,18.72,0.05,1652.31,82.39999999999998,371.9717763424883,252.66,mixed,endpoint
L30,L 局部完成代价（惩罚30 s）,200,2624,2624,200,0,505.4108617316224,689.7527411996855,113,87,0,92.42730365956436,mixed_endpoint_50020,-6.555789781623388,1.2444719108457236,1.5605643273360115,1.6997066405902816,6630.990505918886,520.2371192819637,24508.127529594432,4901.625505918887,276.445,245.23,31.215,232.11,4.725,8.505,21.625,0.135,1638.25,91.11500000000005,379.9441463336817,256.025,mixed,endpoint
P2,P 每站最多补测2次,200,2624,2624,200,0,500.73796574780135,682.0716235248743,133,67,0,97.61248883274578,mixed_endpoint_50129,-11.356614715772357,2.1558025023456717,3.6469568913299,-1.6090319139479003,6569.682110611154,515.4362943478147,23988.685553055766,4797.737110611153,285.75,245.685,40.065,232.565,3.395,5.28,18.4,0.03,1690.505,81.4399999999999,385.59648705226004,261.755,mixed,endpoint
L90,L 局部完成代价（惩罚90 s）,200,2624,2624,200,0,502.5371205347937,679.8952315877711,121,79,0,114.85674154952085,mixed_endpoint_50059,-9.853373779251514,1.8704454083800504,2.056785278488893,2.5868966130322857,6593.287021416493,516.9395352843355,24384.58510708247,4876.917021416494,273.95,244.855,29.095,231.735,3.75,8.86,21.98,0.065,1624.19,92.18000000000008,389.0020101788866,254.44,mixed,endpoint
C1,C 局部光学代价比 ≤1.0,200,2624,2624,200,0,506.7191450387506,691.5746020825646,171,9,20,40.20928592717655,mixed_endpoint_50119,-5.982805934853241,1.1357035814107852,1.3140517623810966,1.2747799804427196,6648.155182908408,520.8101031287339,24569.500914542034,4913.900182908406,277.64,243.615,34.025,230.495,3.33,9.115,22.235,2.44,1641.31,92.94500000000004,380.34897328568775,253.11,mixed,endpoint
M75,M 后验质量试清除（0.75）,200,2624,2624,200,0,512.5363703316162,694.483088780971,109,91,0,80.40614659607013,mixed_endpoint_50129,0.37866299525540825,-0.0718808071901389,0.052597288404410136,-0.4587074406613878,6724.477178750805,527.1715720588425,24883.56089375403,4976.712178750807,282.515,244.615,37.9,231.495,3.53,4.97,18.09,0.07,1667.255,80.51000000000008,354.0754053247251,254.68,mixed,endpoint
M50,M 后验质量试清除（0.50）,200,2624,2624,200,0,513.6825396054093,692.5440477002359,100,100,0,98.9449665313121,mixed_endpoint_50165,0.9988015554619551,-0.18960041759814583,-0.3029271838774328,0.01955729398168682,6739.514919622969,527.7917106190491,24972.074598114843,4994.414919622969,281.17,244.615,36.555,231.495,3.48,5.965,19.085,0.075,1661.605,83.49500000000008,387.43743172012347,255.755,mixed,endpoint
LPC,L + P + C,200,2624,2624,200,0,490.3302424376278,663.2814556608553,154,46,0,82.00470271529502,mixed_endpoint_50068,-21.76482944218994,4.13157221134175,5.4508001531690216,3.74077695795183,6433.132780781677,505.0280796213971,23539.58890390838,4707.917780781677,270.705,243.45,27.255,230.33,4.325,17.85,30.97,5.94,1606.065,119.15,410.19956206671094,252.54,mixed,endpoint
PC,P + C,200,2624,2624,200,0,493.46215404949714,679.1330890884985,148,52,0,64.81531071652034,mixed_endpoint_50129,-18.5629927180056,3.523774219171394,4.9849608758279595,2.0321806382789687,6474.2234611294025,508.22991634558144,23655.567305647015,4731.113461129404,275.51,242.955,32.555,229.835,2.46,15.295,28.415,5.765,1631.625,111.48500000000001,367.9325981203726,254.075,mixed,endpoint
LC,L + C,200,2624,2624,200,0,495.82974334361467,683.4531154134511,135,65,0,87.69381881520485,mixed_endpoint_50020,-16.216024079671413,3.0782540540450043,3.882548329976643,3.7141079207040795,6505.286232668224,510.57688498391565,23930.031163341115,4786.006232668223,270.78,245.04,25.74,231.92,4.335,15.83,28.95,5.665,1606.19,113.09000000000019,379.0391993808857,252.29,mixed,endpoint
baseline,冻结基线 TRI25 + V4,50,646,646,50,0,511.3000217339836,675.9026433845225,0,0,50,0.0,mixed_smooth_50000,0.0,0.0,0.0,0.0,6605.996280803068,525.2571676818137,24424.98140401534,4884.996280803068,278.52,242.64,35.88,229.72,3.08,3.4,16.32,0.04,1646.1999999999998,74.79999999999974,327.00388233886457,253.6,mixed,smooth
S_all,S 不限制单站补测数量,50,646,646,50,0,512.1416209577961,672.253908632166,27,23,0,57.36472186318389,mixed_smooth_50002,0.01786528144915451,-0.003401244675638182,1.1694284856026749,-3.640672124084454,6616.869742774726,525.2750329632629,24139.348713873624,4827.869742774726,288.66,246.4,42.26,233.48,2.94,5.38,18.3,0.02,1708.26,80.73999999999998,358.5102999670365,264.96,mixed,smooth
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,50,646,646,50,0,483.6523988042181,640.708297828109,39,11,0,68.15868170722979,mixed_smooth_50007,-28.543767313343615,5.434246131151255,7.121546634941933,1.0340370529943965,6248.788992550498,496.7134003684701,22685.54496275249,4537.108992550498,275.64,248.32,27.32,235.4,3.34,4.08,17.0,0.0,1634.84,76.84000000000006,285.2505897352035,256.64,mixed,smooth
P1,P 每站最多补测1次,50,646,646,50,0,508.90188923861524,678.4242183068708,33,17,0,84.76563611144172,mixed_smooth_50019,-2.821824953278299,0.5372273101445058,1.4121581240757464,-1.9172770357604563,6575.012408962909,522.4353427285355,24080.062044814546,4816.012408962909,283.86,243.22,40.64,230.3,3.1,4.88,17.8,0.02,1679.76,79.23999999999987,383.08270247184953,260.46,mixed,smooth
L90,L 局部完成代价（惩罚90 s）,50,646,646,50,0,505.1238002611296,681.6643089881596,29,21,0,95.50121794624624,mixed_smooth_50002,-6.482916759858283,1.2342367051305758,1.2576628086843122,1.3715352577911788,6526.199499373794,518.7742509219555,24117.797496868978,4823.559499373796,274.7,249.18,25.52,236.26,3.34,2.8,15.72,0.06,1629.64,72.99999999999994,419.1843796633223,256.14,mixed,smooth
L30,L 局部完成代价（惩罚30 s）,50,646,646,50,0,496.5037355100984,667.8989197174302,35,15,0,54.40213289155662,mixed_smooth_50014,-14.372138666384304,2.7362099083416025,3.7139847726305852,1.0124946143903468,6414.828262790472,510.88502901542944,23517.841313952358,4703.568262790472,275.7,247.42,28.28,234.5,4.0,3.72,16.64,0.08,1635.5,75.76000000000013,435.09930562967224,257.0,mixed,smooth
P2,P 每站最多补测2次,50,646,646,50,0,509.72416628916835,672.253908632166,28,22,0,62.53839986453346,mixed_smooth_50002,-1.9803016276238201,0.37701563147888306,1.6532264858497792,-3.209823352003438,6585.636228456055,523.27686605419,24021.18114228028,4804.236228456055,287.46,246.22,41.24,233.3,3.0,5.2,18.12,0.02,1701.2,80.19999999999993,318.1077597051775,263.9,mixed,smooth
F120,F 连续处理当前源（120 m）,50,646,646,50,0,514.7253251721019,683.9030997111006,12,29,9,72.00705079271842,mixed_smooth_50019,3.5123385064338404,-0.6686893054568266,-0.2836219236222126,-1.9603619129685557,6650.251201223557,528.7695061882474,24494.25600611778,4898.851201223555,283.98,247.76,36.22,234.84,2.86,3.22,16.14,0.04,1677.14,74.25999999999975,257.8753269277978,257.24,mixed,smooth
F60,F 连续处理当前源（60 m）,50,646,646,50,0,512.2631158463971,675.9026433845225,1,1,48,42.02404692144677,mixed_smooth_50045,0.7735129995970328,-0.14726367333757207,-0.15359634892395668,0.02872325147206256,6618.439456735451,526.0306806814108,24462.497283677265,4892.499456735452,278.44,242.52,35.92,229.6,3.16,5.2,18.12,0.04,1645.7399999999998,80.19999999999978,327.00388233886457,253.54,mixed,smooth
C1,C 局部光学代价比 ≤1.0,50,646,646,50,0,508.9547384124504,675.3399988802697,32,9,9,37.02457837961521,mixed_smooth_50045,-2.565115546966823,0.48835422052169175,0.5641981882876346,0.8832399827660375,6575.695220288859,522.6920521348469,24287.1761014443,4857.4352202888585,276.06,241.54,34.52,228.62,2.98,7.28,20.2,1.84,1631.82,86.44000000000004,329.31729714878173,251.52,mixed,smooth
C15,C 局部光学代价比 ≤1.5,50,646,646,50,0,504.80873928354487,673.4826306156288,40,10,0,26.940164442232458,mixed_smooth_50045,-6.701383413908266,1.275829027423725,1.9452905139990317,1.7305759011920108,6522.1289115434,518.5557842679054,23949.844557717006,4789.9689115434,273.7,241.56,32.14,228.64,2.54,16.36,29.28,7.24,1618.48,113.67999999999992,326.0836361749758,249.98,mixed,smooth
M50,M 后验质量试清除（0.50）,50,646,646,50,0,516.2471747590757,670.9255897094351,25,25,0,59.030063219258466,mixed_smooth_50034,3.948321286401515,-0.7516929857096954,-1.4283985713233527,0.639092345253478,6669.913497887258,529.2054889682153,24773.86748943629,4954.773497887258,276.74,240.48,36.26,227.56,3.2,5.4,18.32,0.12,1634.34,80.80000000000001,375.6037378902599,250.64,mixed,smooth
PC,P + C,50,646,646,50,0,504.60472484634374,663.4853319773686,33,17,0,84.10565007971059,mixed_smooth_50019,-7.364306148119371,1.4020382017100874,2.8127602947881747,-0.5241993393652278,6519.493045014761,517.8928615336943,23737.965225073804,4747.59304501476,279.98,244.26,35.72,231.34,2.76,16.32,29.24,7.54,1658.3400000000006,113.55999999999989,315.38237682326707,258.44,mixed,smooth
LPC,L + P + C,50,646,646,50,0,490.90493572374146,670.8730121611802,41,9,0,80.10349297684388,mixed_smooth_50002,-19.54435946718947,3.720912472921989,5.2508640029130245,2.1829671118770544,6342.491769550739,505.7128082146243,23142.458847753704,4628.491769550739,272.44,245.54,26.9,232.62,3.36,10.82,23.74,6.06,1616.94,97.06000000000014,397.0276013016358,254.74,mixed,smooth
LC,L + C,50,646,646,50,0,494.04924470065674,663.5661491945658,34,16,0,34.88428571779207,mixed_smooth_50047,-16.568212136324984,3.1543048159528464,4.533883477884082,1.9460002872324966,6383.116241532485,508.68895554548874,23317.581207662428,4663.516241532486,273.1,247.34,25.76,234.42,3.96,11.52,24.44,5.96,1620.44,99.15999999999991,437.38439101767557,254.94,mixed,smooth
M75,M 后验质量试清除（0.75）,50,646,646,50,0,515.8523868367473,682.8000872323545,21,29,0,78.30710530917105,mixed_smooth_50042,4.191305446385718,-0.7979530226848164,-1.4201967235950796,0.6965388481976142,6664.8128379307755,529.4484731281995,24771.86418965388,4954.372837930775,276.58,238.8,37.78,225.88,3.22,4.82,17.74,0.1,1631.38,79.05999999999995,362.6117606081768,248.48,mixed,smooth
baseline,冻结基线 TRI25 + V4,50,646,646,50,0,488.2659513277925,655.384173637397,0,0,50,0.0,omni_endpoint_50000,0.0,0.0,0.0,0.0,6308.396091155079,502.60458458990354,23450.580455775395,4690.11609115508,260.82,227.26,33.56,214.34,0.12,4.26,17.18,0.04,1540.9000000000003,77.38000000000002,435.22980945221747,236.8,omni,endpoint
