scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
mixed_endpoint_50120,L90,50120,mixed,endpoint,7d755cbf62e7b997a45f16d5e7cbd5da11f1d49eba6475f59eaf0b3df7327b15,16,16,7222.784001402568,451.4240000876605,28518.920007012828,16791.112098684003,238,26,16,0,23,,True,13,74,3.232660000037868,3.31890869999188,199,183,39,4,1409.000000000002,110.00000000000011,5703.784001402568,0.0,10,219,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,1c80ef299072be87c6bfda4aa6420c9c602955dc0dcbebc153be9574c3fc8895,0,0,0,0,0,0,0,1455.5459444799353,90.97162152999601,6257.729722399661,1251.5459444799353,29,25,4,25,2,9,9,0,177.00000000000205,27.0000000000003,0.0,32
mixed_endpoint_50020,LC,50020,mixed,endpoint,56aa805bae245cd1bacad60b2da54f34dd6361d7eee6a2fc398cf60dd397594c,10,10,7212.701221756241,721.270122175624,25698.506108781192,9283.47402062864,328,35,10,5,25,,True,7,50,1.0274096998618916,1.0798734999843873,307,297,21,4,1948.0000000000011,124.99999999999925,5139.701221756239,772.7041538739422,25,308,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,27ce3dd8f143aa626de7b9096aa520f549d41192da3f3487dcfdc099b832d971,0,0,0,0,0,0,45,876.9381881520494,87.69381881520485,4114.6909407602325,822.9381881520467,-4,5,-9,5,2,23,23,5,-14.999999999997726,68.99999999999889,446.91682717858384,5
mixed_endpoint_50050,L90,50050,mixed,endpoint,0bd3f64004cec500f45e04539cf3e1453da60a9997d37972b8481cf01a311606,10,10,7178.942423787808,717.8942423787807,25434.71211893904,9266.277119835497,341,15,10,0,25,,True,7,53,1.1582159000972752,1.2130018000025302,320,310,21,1,2026.9999999999995,65.00000000000132,5086.942423787808,627.3297459128971,5,322,0.0,True,943.0121947375768,17.74943008678929,94fc0369a210996214e0d2f75652a3da35109d71b4cf1c0e7046c2d23cd86f95,0,0,0,0,0,0,0,872.6134570970817,87.26134570970805,3183.0672854854092,636.6134570970826,39,46,-7,46,-1,-3,-3,-1,244.99999999999864,-8.999999999999261,-1021.1067595533459,50
mixed_endpoint_50046,L30,50046,mixed,endpoint,89178c692d59a76cb24ff07ce44bc4a2414d1f388f06069f1e39b48d21ae2382,12,12,7884.034389387027,657.0028657822522,28450.171946935134,11532.882043283042,318,100,12,2,25,,True,5,76,1.3386203999980353,1.4612617999955546,278,266,40,16,1870.0000000000005,323.9999999999993,5690.034389387028,2369.153669505968,88,280,0.0,True,943.0121947375768,17.74943008678929,aa44feebe101f836f480c5a33381da253c5312e0f4b2d20bbaffe7fedb70026e,0,0,0,0,0,0,0,1029.8806716339795,85.82338930283163,4054.403358169893,810.8806716339795,-2,-10,8,-10,15,79,79,2,-17.99999999999841,236.99999999999864,248.10896261459447,-8
directional_endpoint_50002,LPC,50002,directional,endpoint,a4f9fe025b103bba23345fc397584f4dd0e2f4cefdaf7190d017140f8667f255,16,16,7657.786882535422,478.6116801584639,27738.934412677085,13478.553462745716,308,84,16,6,24,,True,20,68,2.7039106999291107,2.861886800004868,259,243,49,13,1826.000000000001,283.99999999999875,5547.786882535422,0.0,68,286,4.547473508864641e-12,True,943.0121947375768,17.74943008678929,57a0851df1d28183f1e6bb17a8a548abf1d7930f35e284195ed8d339ee372690,20,0,0,0,20,0,17,1359.0737897112494,84.94211185695309,3810.3689485562245,762.0737897112494,70,59,11,59,8,60,60,6,416.99999999999955,179.99999999999966,0.0,67
mixed_smooth_50019,P1,50019,mixed,smooth,a40da7d1bc8e630826de30ba27788af20501d653dbea4e63d04c535dd53d883c,16,16,6531.368241248114,408.2105150780071,25886.841206240573,13831.665325989596,214,19,16,0,21,,True,21,64,1.59649680001894,1.695665800012648,168,152,46,3,1264.9999999999995,89.00000000000013,5177.368241248112,0.0,3,195,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,6401b0ada92535b88ba94af66b81b2e674e5ebf3b53f6e4ce7d6547c8fc7caf0,21,0,0,0,21,0,0,1356.2501777830676,84.76563611144172,6001.250888915332,1200.2501777830666,26,24,2,24,-1,-1,-1,0,158.99999999999864,-2.999999999999474,0.0,29
directional_endpoint_50045,F120,50045,directional,endpoint,3ab5cbf4305c3694a88819116779a552f981ca944f0df10d5ef4e1bd83cb0443,16,16,8267.130686777517,516.6956679235948,33465.65343388758,20551.888318800666,201,124,16,1,19,,True,11,73,1.225510700023733,2.213114099984523,137,121,64,21,1170.0000000000014,404.0000000000018,6693.130686777514,0.0,108,165,0.0,True,943.0121947375768,17.74943008678929,511691c0cdb82f5cab6aa9a4373e0f5282396f88bb81eb39787d8dda886eb9c0,0,0,0,0,0,20,0,1351.5708905788379,84.47318066117737,6172.8544528941675,1234.5708905788333,-31,-42,11,-42,12,102,102,1,-188.99999999999727,306.0000000000037,0.0,-34
mixed_smooth_50019,PC,50019,mixed,smooth,a40da7d1bc8e630826de30ba27788af20501d653dbea4e63d04c535dd53d883c,16,16,6520.808464740417,407.550529046276,25724.042323702084,13691.227866398182,210,34,16,6,21,,True,19,59,1.9119133997883184,2.0246232000063173,168,152,42,3,1241.9999999999989,133.9999999999995,5144.808464740416,0.0,18,192,0.0,True,943.0121947375768,17.74943008678929,91540660ecabd090f5019eaaf3fbf4de6ceee3d1bada3fc5c55aa023526f2f1c,19,0,0,0,19,0,82,1345.6904012753703,84.10565007971059,5838.452006376843,1167.6904012753703,22,24,-2,24,-1,14,14,6,135.99999999999795,41.999999999999886,0.0,26
mixed_endpoint_50068,LPC,50068,mixed,endpoint,59716a1d1d00d09c2abafa1b2eb8a5a87dfed90e91db570294b0280d834ef9f6,14,14,8490.155773115455,606.4396980796754,32660.778865577257,15324.784041086368,253,147,14,6,25,,True,13,67,2.61616520001553,2.850061299977824,212,198,41,16,1489.000000000001,468.99999999999926,6532.155773115455,718.0298095805201,133,224,3.637978807091713e-12,True,943.0121947375768,17.74943008678929,cf175821ab2e298e8a3b4003042b7c53136df5fa85fdb9e3f6469add65a4f431,13,0,0,0,13,0,142,1148.0658380141294,82.00470271529502,4020.329190070628,804.0658380141303,-6,-1,-5,-1,6,126,126,6,-33.999999999998636,377.99999999999903,408.6562447426604,-4
directional_endpoint_50046,LC,50046,directional,endpoint,a981d0b46d153c3bc16c4f0c080dc4b95c1eb74bc53f407349956a29045feb68,12,12,7841.422149182311,653.4518457651926,27032.110745911523,11262.907291290743,375,65,12,6,25,,True,9,67,2.098471500183223,2.216186400008155,336,324,39,18,2216.000000000003,219.00000000000236,5406.422149182306,0.0,53,341,6.366462912410498e-12,True,943.0121947375768,17.74943008678929,7365bce541196e5c1a5d48f13cb6f638036bf77c1e7ce23eb84691d20ce498e6,0,0,0,0,0,0,8,974.6047246906746,81.21706039088963,2838.023623453322,567.6047246906674,46,41,5,41,16,45,45,6,272.0000000000048,135.00000000000344,-1595.178073129532,42
