variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256
center_route,directional_endpoint_10039,10039,directional,endpoint,809dbb6e3baa5611306caac57aff1f74f5a173b3c3807a9a2702639ab591c8cc,12,12,6937.280100197595,578.1066750164663,24631.400500987984,9880.765969478609,326,19,12,0,25,,True,8,64,1.2754797000961844,1.3369750999845564,297,285,29,3,1929.9999999999993,80.99999999999942,4926.280100197596,199.40176378837623,7,300,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,52b32e3e563a30ecd9fe66f805b00d06bcaa2237ef4d45b0ae5b5fcdd3915098
full_compact,directional_endpoint_10039,10039,directional,endpoint,809dbb6e3baa5611306caac57aff1f74f5a173b3c3807a9a2702639ab591c8cc,12,12,7061.403317711338,588.4502764759449,24587.016588556693,11333.548804291022,348,20,12,0,25,,True,12,69,1.1907385000959039,1.2673361000197474,311,299,37,6,2060.000000000001,84.0000000000001,4917.403317711339,0.0,8,320,-9.094947017729282e-13,True,943.0121947375769,2.074856830987301,61aa4c7055c056ff6b8d0c889554afb0220ee6c82822693fa95a56b5303f46e6
every_stop,directional_endpoint_10039,10039,directional,endpoint,809dbb6e3baa5611306caac57aff1f74f5a173b3c3807a9a2702639ab591c8cc,12,12,10489.832939246891,874.152744937241,26884.164696234457,10421.791246275634,845,18,12,0,25,,True,10,68,1.1045311998750549,1.308633300010115,809,797,36,7,5035.0,78.00000000000024,5376.832939246891,0.0,6,810,0.0,True,943.0121947375769,17.74943008678929,417710383c4e137fa92e40a99566774a7582d05160d6a526e99ad1bd0d9eb601
proxy_compact,directional_endpoint_10039,10039,directional,endpoint,809dbb6e3baa5611306caac57aff1f74f5a173b3c3807a9a2702639ab591c8cc,12,12,7166.065790990414,597.1721492492012,25545.32895495206,9845.959416965345,334,19,12,0,25,,True,5,68,1.361512799951015,1.4269432000000961,304,292,30,3,1976.0000000000032,81.00000000000011,5109.065790990412,0.0,7,306,1.8189894035458565e-12,True,943.0121947375769,2.074856830987301,ea39282b9eade06850752fc67b0dc102c921194b68ebcc3d25c8c21ec4ab7158
proxy_reuse_early_compact,directional_endpoint_10039,10039,directional,endpoint,809dbb6e3baa5611306caac57aff1f74f5a173b3c3807a9a2702639ab591c8cc,12,12,7089.065608814234,590.7554674011861,25300.328044071164,9978.034860105803,329,18,12,0,25,,True,5,60,1.2140355001029093,1.2809573000122327,304,292,25,4,1951.0000000000027,78.00000000000026,5060.065608814232,0.0,6,306,9.094947017729282e-13,True,943.0121947375769,2.074856830987301,064d3e134d8c86c88fe12986e3f53cc44358a323b1dc81de36041da5e591ed9b
nearest,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7185.198745723997,653.1998859749087,25175.99372861997,8337.629097027719,351,16,11,0,25,,True,1,65,0.8134680999792181,0.8599864999996498,325,314,26,1,2080.0000000000005,70.0000000000003,5035.198745723996,301.2007687489713,5,325,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,3ef0dfa81c78d61feb2fdcd8e0a1c7026ce2d2cd3378d988b50b8d902b943611
baseline,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,6959.185911449101,632.653264677191,24270.9295572455,8225.876757413858,342,19,11,0,25,,True,5,70,1.2576001000998076,1.3272532999981195,310,299,32,4,2026.0000000000018,79.00000000000031,4854.185911449099,743.590815283219,8,316,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,39256dbf93e30f6df567b05d50e48a911d72478460bb1d8694320b03ddc31392
nearest_reuse,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7185.198745723997,653.1998859749087,25175.99372861997,8337.629097027719,351,16,11,0,25,,True,1,65,0.6277289999416098,0.6675703999935649,325,314,26,1,2080.0000000000005,70.0000000000003,5035.198745723996,301.2007687489713,5,325,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,3c0866658f7c1bbb6c805a397e707e5cce8b19763d6542356f7d1db673a455ab
reuse,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,7135.31808621622,648.665280565111,25256.590431081084,9343.762233006084,339,18,11,0,25,,True,3,69,0.9932418000826146,1.0423127000103705,308,297,31,3,2008.0000000000023,76.00000000000031,5051.318086216218,575.3709446010944,7,313,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,7cc40c069676c25055dc035d6b40e450af3b6536eddf88c733d28bd82775d72a
early160,directional_endpoint_10040,10040,directional,endpoint,6ab188c70d3fc751ac0e26d20e9962c09b358040ed8f709d980803b69bd911f8,11,11,6953.657611601154,632.1506919637412,24283.28805800576,8160.437872032147,340,19,11,0,25,,True,6,67,0.8748911999282427,0.9290480999916326,310,299,30,5,2018.0000000000014,79.00000000000122,4856.657611601151,743.590815283219,8,318,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,da55a513988adbe133789e644114b917b3e02830206d255227df3327e42f79e0
