K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,n_batch,n_probe,n_aggressive_clear,n_aggressive_clear_ok,hex37_route,mean_first_detect_index,p95_first_detect_index,seed,N,error_mode
14,9250.607959508181,660.7577113934415,35958.03979754091,13490.276533945218,333,17,14,True,,0.15039679998881184,HEX37,ROUTE_INSERT_V3,0,37,27,36,10,26,24,7,4,PREFIX_A,4.428571428571429,11.599999999999994,19,14,smooth
16,9091.221381793315,568.2013363620822,37366.10690896656,11299.305874943926,259,19,16,True,,0.15880820000893436,HEX37,ROUTE_INSERT_V3,0,37,24,36,10,17,20,10,7,PREFIX_A,4.1875,16.0,20,16,smooth
12,9600.705814497527,800.0588178747939,36413.52907248765,11466.678553709131,380,15,12,True,,0.12780649999331217,HEX37,ROUTE_INSERT_V3,0,37,18,36,7,16,12,6,3,PREFIX_A,4.5,19.39999999999999,21,12,smooth
15,9288.320511530583,619.2213674353721,36776.6025576529,12716.775379282928,311,20,15,True,,0.17225460000918247,HEX37,ROUTE_INSERT_V3,0,37,26,36,8,23,18,12,7,PREFIX_A,5.533333333333333,21.899999999999984,22,15,smooth
10,10153.37354830684,1015.3373548306839,37301.8677415342,11719.199840212279,443,14,10,True,,0.13770160000422038,HEX37,ROUTE_INSERT_V3,0,37,18,36,7,15,14,5,2,PREFIX_A,3.9,14.999999999999979,23,10,smooth
12,8691.542942318465,724.2952451932055,32837.71471159232,8177.6101587033345,346,17,12,True,,0.1551605999993626,HEX37,ROUTE_INSERT_V3,0,37,25,36,7,22,17,13,8,PREFIX_A,1.0,4.0,24,12,smooth
13,8923.655197546052,686.4350151958502,34493.27598773025,10342.849396203834,330,15,13,True,,0.15589740000723395,HEX37,ROUTE_INSERT_V3,0,37,21,36,8,18,15,9,7,PREFIX_A,2.769230769230769,6.399999999999999,25,13,smooth
16,9337.70718186486,583.6066988665538,36638.53590932431,12345.672182724482,321,24,16,True,,0.22996189999685157,HEX37,ROUTE_INSERT_V3,0,37,30,36,9,26,28,13,6,PREFIX_A,7.3125,27.25,26,16,smooth
10,8787.57754004495,878.7577540044949,30567.887700224757,5660.008803256375,441,12,10,True,,0.10637059999862686,HEX37,ROUTE_INSERT_V3,0,37,13,36,6,12,13,8,7,PREFIX_A,4.4,18.74999999999997,27,10,smooth
14,9011.81559785905,643.7011141327893,35094.07798929524,11120.38293189699,321,21,14,True,,0.17259680001006927,HEX37,ROUTE_INSERT_V3,0,37,31,36,9,28,19,13,6,PREFIX_A,3.9285714285714284,14.35,28,14,smooth
16,9009.259358448495,563.0787099030309,36581.296792242494,11813.436919995724,270,22,16,True,,0.21510000000125729,HEX37,ROUTE_INSERT_V3,0,37,26,36,12,21,21,12,8,PREFIX_A,4.1875,19.25,29,16,smooth
