K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,n_batch,n_probe,n_aggressive_clear,n_aggressive_clear_ok,hex37_route,mean_first_detect_index,p95_first_detect_index,seed,N,error_mode
15,9266.75570787921,617.7837138586141,37448.778539396044,12151.790776029837,285,22,15,True,,0.15624199999729171,HEX37,ROUTE_INSERT_V3,0,37,26,36,9,26,19,12,6,CURRENT,3.6666666666666665,11.599999999999998,10,15,smooth
10,10368.024079886476,1036.8024079886477,36995.12039943239,11206.443811436602,489,14,10,True,,0.12520739999308717,HEX37,ROUTE_INSERT_V3,0,37,16,36,4,15,13,5,2,CURRENT,8.5,22.299999999999994,11,10,smooth
14,8956.870715841904,639.7764797029931,34404.35357920953,12535.960274231305,336,18,14,True,,0.1582957000064198,HEX37,ROUTE_INSERT_V3,0,37,29,36,9,25,23,11,7,CURRENT,4.642857142857143,19.0,12,14,smooth
16,9446.02666066693,590.3766662916831,37480.13330333463,13495.005988230605,311,23,16,True,,0.1890440999995917,HEX37,ROUTE_INSERT_V3,0,37,31,36,8,28,25,10,3,CURRENT,6.875,19.75,13,16,smooth
11,9515.169670091236,865.0154245537487,33650.848350456174,8196.257337870686,457,17,11,True,,0.13451469999563415,HEX37,ROUTE_INSERT_V3,0,37,26,36,7,24,14,12,6,CURRENT,8.090909090909092,19.0,14,11,smooth
16,9834.450049099754,614.6531280687346,39592.25024549876,15185.303184003249,306,27,16,True,,0.20450370000617113,HEX37,ROUTE_INSERT_V3,1,37,36,36,9,30,23,15,6,CURRENT,6.1875,19.0,15,16,smooth
13,10584.893156218388,814.2225504783376,38834.465781091916,14979.403549895538,443,55,13,True,,0.17249520000768825,HEX37,ROUTE_INSERT_V3,1,37,30,36,5,29,14,11,3,CURRENT,10.76923076923077,31.4,16,13,smooth
15,10149.409961918805,676.627330794587,39502.04980959398,16377.848536313822,353,42,15,True,,0.22633069999574218,HEX37,ROUTE_INSERT_V3,1,37,25,36,10,23,28,12,5,CURRENT,7.066666666666666,22.099999999999994,17,15,smooth
16,8605.057231297162,537.8160769560726,34010.28615648582,9466.130442138658,289,20,16,True,,0.15919920000305865,HEX37,ROUTE_INSERT_V3,0,37,28,33,9,21,16,12,8,CURRENT,6.3125,19.25,18,16,smooth
14,9756.885163665926,696.9203688332803,35744.42581832963,11838.899340190897,423,19,14,True,,0.15448890000698157,HEX37,ROUTE_INSERT_V3,0,37,26,36,7,25,28,8,4,CURRENT,10.642857142857142,19.35,19,14,smooth
16,9363.90063857707,585.2437899110669,37089.50319288534,12546.599919510534,313,20,16,True,,0.15776600000390317,HEX37,ROUTE_INSERT_V3,0,37,29,36,10,19,26,12,8,CURRENT,7.0,24.0,20,16,smooth
12,9753.352091735971,812.7793409779975,36346.76045867985,12131.608207155788,407,15,12,True,,0.13291090000711847,HEX37,ROUTE_INSERT_V3,0,37,15,36,8,14,17,5,3,CURRENT,6.083333333333333,25.499999999999993,21,12,smooth
15,9370.957660803286,624.7305107202191,36574.788304016445,12461.715518482295,331,20,15,True,,0.14735080000536982,HEX37,ROUTE_INSERT_V3,0,37,26,36,8,21,20,11,7,CURRENT,6.666666666666667,21.499999999999986,22,15,smooth
10,9800.34704753291,980.0347047532911,34951.73523766454,8780.58844044798,462,17,10,True,,0.132161300003645,HEX37,ROUTE_INSERT_V3,0,37,29,36,6,25,13,8,1,CURRENT,5.6,17.549999999999997,23,10,smooth
12,9488.429836761205,790.7024863967671,36282.14918380604,11390.42177009553,365,17,12,True,,0.13704120001057163,HEX37,ROUTE_INSERT_V3,0,37,15,36,10,12,13,11,8,CURRENT,2.9166666666666665,15.349999999999998,24,12,smooth
13,10067.196454747706,774.399727288285,37830.98227373853,13004.842410650475,408,16,13,True,,0.13401270000031218,HEX37,ROUTE_INSERT_V3,0,37,19,36,8,14,16,8,5,CURRENT,8.692307692307692,20.4,25,13,smooth
16,9830.403504919637,614.4002190574773,39117.01752459818,16462.838010089825,320,26,16,True,,0.21313160000136122,HEX37,ROUTE_INSERT_V3,0,37,42,36,9,36,23,16,6,CURRENT,7.0625,20.25,26,16,smooth
10,9656.173890747019,965.6173890747019,34725.8694537351,9252.112917214694,446,13,10,True,,0.10692920000292361,HEX37,ROUTE_INSERT_V3,0,37,17,36,6,16,12,8,5,CURRENT,4.9,16.749999999999993,27,10,smooth
14,10697.040002403948,764.0742858859963,40310.20001201971,16280.547176417465,427,29,14,True,,0.25818319999962114,HEX37,ROUTE_INSERT_V3,0,37,31,36,8,26,18,15,5,CURRENT,9.714285714285714,23.849999999999994,28,14,smooth
16,8663.527318357717,541.4704573973573,34007.636591788585,11663.148749233678,299,19,16,True,,0.15867330000037327,HEX37,ROUTE_INSERT_V3,0,37,28,36,8,23,22,11,8,CURRENT,6.4375,19.0,29,16,smooth
