seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
3017,11,11,7353.931961214463,668.5392692013148,25904.65980607231,8304.3809761474,356,13,0,25,True,,0.31232249998720363,336,325,20,8,2112.0,61.000000000000995,5180.931961214464,476.88236201593645
3018,13,13,8115.277395928996,624.2521073791536,28136.386979644994,10138.759032005144,408,16,0,25,True,,0.4701487999991514,379,366,29,14,2413.9999999999977,73.99999999999925,5627.277395928997,357.97759471365407
3019,16,16,8468.889322656922,529.3055826660576,31364.44661328462,16262.789765896245,357,19,1,25,True,,0.7694301000155974,311,295,46,30,2107.0000000000005,88.99999999999933,6272.889322656924,0.0
3020,14,14,7570.620645049424,540.7586175035302,26533.103225247116,9662.683254945956,368,19,0,25,True,,0.6012256000249181,341,327,27,7,2179.0,85.00000000000041,5306.620645049424,0.0
3021,13,13,7417.797082417352,570.5997755705655,26328.985412086757,8187.876695736456,350,17,0,25,True,,0.2885850000020582,326,313,24,8,2075.0,77.00000000000009,5265.797082417352,0.0
3022,16,16,8271.973244513101,516.9983277820688,28864.86622256552,10207.306177462864,408,18,0,25,True,,0.8044165000028443,367,351,41,22,2412.999999999999,85.99999999999919,5772.973244513103,0.0
3023,12,12,9063.786180832543,755.3155150693786,31133.930904162688,12690.171841640029,435,78,1,25,True,,0.7881740000157151,397,385,38,22,2579.0000000000005,258.0000000000036,6226.786180832549,0.0
3024,10,10,8235.88767218294,823.588767218294,28594.438360914683,11951.994092996058,415,12,0,25,True,,0.584598499990534,382,372,33,21,2461.0000000000027,56.00000000000016,5718.887672182937,484.05207399667324
3025,16,16,9533.595913116125,595.8497445697578,35272.97956558063,19046.086082272945,356,116,1,24,True,,0.9042503999953624,309,293,47,29,2098.9999999999973,380.0000000000034,7054.595913116126,0.0
3026,11,11,7485.664742022024,680.5149765474567,25288.32371011011,8462.881008918044,400,13,0,25,True,,0.6262198000040371,374,363,26,12,2367.000000000002,60.9999999999988,5057.664742022024,0.0
3027,12,12,7972.5781686857445,664.3815140571454,25622.890843428737,7968.154340680305,468,17,0,25,True,,0.6779346999828704,438,426,30,11,2772.999999999998,74.99999999999913,5124.578168685745,0.0
3028,11,11,7160.986763452008,650.9987966774553,23594.933817260047,6490.079285727289,400,14,0,25,True,,0.4835666000144556,384,373,16,2,2377.9999999999977,64.0,4718.986763452011,0.0
3029,12,12,7621.075702957237,635.089641913103,25645.378514786185,7592.220579980799,409,13,0,25,True,,0.5291142000060063,383,371,26,12,2428.9999999999995,62.999999999999694,5129.075702957238,0.0
