seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
11,10,10,6963.819683618193,696.3819683618193,24119.09841809096,7530.155232244416,352,11,0,25,True,,0.2856964000093285,331,321,21,3,2086.999999999999,53.00000000000062,4823.819683618193,123.38852552355911
12,14,14,6779.487555322647,484.24911109447476,25717.43777661324,10231.856648226967,263,16,0,25,True,,0.5027867000026163,228,214,35,4,1560.0,76.00000000000016,5143.487555322647,0.0
13,16,16,6278.997213324958,392.43732583280985,24399.986066624795,13607.519043481518,223,18,0,21,True,,0.5266730000148527,177,161,46,8,1313.0,85.99999999999996,4879.9972133249585,0.0
14,11,11,6825.492267351049,620.4992970319136,24552.461336755252,9216.989529377903,310,21,1,25,True,,0.6440443999890704,263,252,47,6,1829.9999999999993,85.00000000000001,4910.49226735105,301.5694812192123
15,16,16,5050.529020791547,315.6580637994717,20412.645103957744,15762.48115103465,150,21,0,10,True,,0.747583799995482,97,81,53,4,872.9999999999997,94.99999999999976,4082.529020791548,0.0
16,13,13,7496.136237082908,576.625864390993,26640.68118541452,13261.113944977482,353,17,0,25,True,,0.6671149000176229,310,297,43,4,2091.0000000000014,77.00000000000097,5328.136237082903,0.0
17,15,15,6971.218500994872,464.7479000663248,26541.092504974367,13981.055757603672,269,17,0,25,True,,0.7191528999828734,221,206,48,7,1582.0,80.99999999999895,5308.2185009948735,364.2806061708252
18,16,16,5312.550129817002,332.0343831135626,20152.750649085,12002.663679191335,202,21,0,17,True,,0.7832403000211343,154,138,48,2,1187.0000000000016,95.00000000000009,4030.5501298169993,0.0
19,14,14,6917.595739964462,494.11398142603304,26392.978699822314,13458.584331264741,265,17,0,25,True,,0.4778502999979537,224,210,41,11,1560.0000000000002,78.99999999999989,5278.595739964463,274.7449025998294
20,16,16,7456.163920532251,466.0102450332657,30040.819602661253,14412.559463139665,229,25,1,20,True,,0.7496124999888707,181,165,48,5,1341.0000000000011,107.00000000000065,6008.16392053225,0.0
21,12,12,6712.4592300448185,559.3716025037348,24842.296150224098,10018.334566238242,283,16,0,25,True,,0.47930959999212064,252,240,31,1,1671.9999999999998,72.00000000000023,4968.459230044819,931.4330904203962
22,15,15,6635.800694074764,442.3867129383176,25354.003470373824,10890.186408097268,250,18,0,25,True,,0.5806695000210311,211,196,39,6,1481.0,83.99999999999905,5070.800694074765,0.0
23,10,10,6821.785655221774,682.1785655221773,23588.928276108854,6900.2165005389625,346,11,0,25,True,,0.3455192999972496,325,315,21,1,2051.000000000002,52.99999999999993,4717.785655221771,0.0
24,12,12,6294.294775524481,524.5245646270401,23161.473877622408,7413.4453144676045,270,14,0,25,True,,0.5415439000062179,241,229,29,0,1596.0000000000011,65.99999999999989,4632.29477552448,941.3993389001453
25,13,13,6801.36682978849,523.1820638298839,25976.834148942435,10546.65683719594,260,16,0,25,True,,0.6209434000193141,223,210,37,3,1532.0000000000014,74.00000000000112,5195.366829788488,477.4109650478431
26,16,16,6455.332805574516,403.45830034840725,24401.664027872594,10782.088559224681,253,17,0,21,True,,0.6969159999862313,213,197,40,5,1491.999999999998,82.99999999999878,4880.332805574518,0.0
27,10,10,6818.506599662201,681.8506599662201,24132.532998310995,7903.313200000606,326,13,0,25,True,,0.35706540002138354,303,293,23,0,1933.0000000000005,59.000000000000526,4826.5065996622,1932.2093003636537
28,14,14,7045.914500567458,503.2796071833899,26299.57250283729,10361.770237066896,289,17,0,25,True,,0.6132824999804143,246,232,43,6,1706.9999999999995,79.0000000000009,5259.914500567456,1391.9056732066656
29,16,16,5879.188947120951,367.4493091950594,23630.94473560475,13058.579996950104,180,21,0,17,True,,0.5587017000070773,135,119,45,8,1058.0,95.00000000000185,4726.18894712095,0.0
