seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
3014,11,11,9544.482312014325,867.6802101831204,30567.411560071607,6882.297334286443,568,11,0,37,True,,0.25650459999451414,543,532,25,14,3376.0000000000036,55.00000000000085,6113.482312014319,108.33027614082675
3015,13,13,10255.623543313319,788.8941187164091,34803.11771656659,11535.316107469196,542,15,0,37,True,,0.23422170002595522,514,501,28,13,3224.0000000000005,71.00000000000077,6960.623543313318,0.0
3016,14,14,10586.399773665691,756.1714124046922,36716.99886832845,12257.81733756688,533,16,0,37,True,,0.2768293999833986,499,485,34,18,3166.9999999999995,76.00000000000146,7343.399773665691,0.0
3017,11,11,11139.22099724034,1012.6564542945763,37541.104986201695,14367.457171431102,600,13,0,37,True,,0.181600999989314,572,561,28,15,3569.999999999999,60.999999999999645,7508.2209972403425,0.0
3018,13,13,10303.684007812653,792.5910775240502,35603.42003906328,13567.05071052429,523,16,0,37,True,,0.20625920000020415,492,479,31,15,3108.999999999999,73.9999999999972,7120.684007812659,0.0
3019,16,16,9512.957759860154,594.5598599912596,32634.788799300757,11433.083672465678,488,19,0,33,True,,0.3187817999860272,459,443,29,10,2897.0000000000014,89.00000000000193,6526.957759860151,0.0
3020,14,14,10225.289019126252,730.3777870804466,35051.44509563126,12847.239633825537,528,15,0,37,True,,0.2790342999796849,493,479,35,20,3142.000000000001,72.99999999999949,7010.289019126252,0.0
3021,13,13,10097.534916620421,776.7334551246478,33742.6745831021,8841.79376393056,550,17,0,37,True,,0.2798620000248775,518,505,32,15,3272.0000000000005,76.99999999999815,6748.5349166204205,0.0
3022,16,16,10249.86996634336,640.61687289646,36499.349831716776,19420.5745245774,443,95,1,30,True,,0.3778210000018589,408,392,35,20,2633.000000000001,317.0000000000051,7299.869966343359,0.0
3023,12,12,9944.51266476377,828.7093887303141,32217.56332381886,6732.3490168701055,579,12,0,37,True,,0.15399449999677017,554,542,25,13,3440.9999999999986,60.00000000000114,6443.512664763769,534.9628884565773
3024,10,10,9737.48199463162,973.748199463162,31462.40997315811,7078.698845682353,570,11,0,37,True,,0.13318340000114404,550,540,20,9,3391.999999999999,53.000000000000554,6292.481994631621,0.0
3025,16,16,10504.66613024693,656.5416331404331,36578.330651234646,17742.136457858225,520,22,0,33,True,,0.32159449998289347,478,462,42,20,3091.0000000000023,97.99999999999866,7315.666130246928,0.0
3026,11,11,10013.129091578647,910.2844628707861,31720.64545789325,7724.107358312021,608,12,0,37,True,,0.14216339998529293,582,571,26,14,3610.9999999999986,58.000000000000156,6344.1290915786485,420.48566144832694
3027,12,12,10241.889830067852,853.490819172321,34829.44915033928,9390.931189754976,541,13,0,37,True,,0.18006559999776073,518,506,23,10,3212.999999999998,62.99999999999848,6965.889830067857,0.0
3028,11,11,9724.772000143901,884.0701818312638,32618.860000719502,7800.369901918414,530,12,0,37,True,,0.18979740000213496,509,498,21,9,3142.9999999999986,58.0000000000004,6523.772000143901,0.0
3029,12,12,10513.208460077185,876.1007050064321,36031.04230038595,14188.191896071894,544,15,0,37,True,,0.22516480000922456,515,503,29,14,3237.9999999999973,68.99999999999986,7206.208460077188,0.0
