seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
2019,12,12,7017.150140363881,584.7625116969901,25360.750701819416,10730.912813690891,315,20,0,25,True,,0.5071113999874797,281,269,34,2,1860.9999999999995,83.9999999999992,5072.150140363883,1003.8757718081042
2020,10,10,7292.47229907237,729.247229907237,25712.361495361853,8584.018445742482,353,14,0,25,True,,0.5942587000026833,321,311,32,6,2088.0,61.99999999999971,5142.472299072371,408.2536133566855
2021,15,15,7928.245095550711,528.5496730367141,31741.225477753556,15146.94086371448,252,21,0,25,True,,0.6975417999783531,206,191,46,6,1486.9999999999995,93.00000000000045,6348.245095550711,0.0
2022,14,14,6652.503816082956,475.17884400592544,25447.519080414764,11418.631441282212,251,21,0,25,True,,0.7202415999781806,206,192,45,4,1472.0000000000018,91.00000000000028,5089.5038160829545,1452.8695920822593
2023,13,13,6785.132551413542,521.9332731856571,25315.662757067705,9313.669087154347,279,15,0,25,True,,0.5047042999940459,250,237,29,4,1651.0000000000016,71.00000000000048,5063.13255141354,188.34779248818177
2024,11,11,7059.356452853787,641.7596775321625,24596.782264268928,9969.175937925313,351,13,0,25,True,,0.4754815000051167,317,306,34,5,2079.000000000001,61.00000000000093,4919.356452853785,546.0546811546292
2025,13,13,6815.284071829178,524.2526209099368,25696.420359145897,8645.474353348136,272,15,0,25,True,,0.41405270001268946,242,229,30,1,1605.000000000002,70.99999999999844,5139.284071829177,0.0
2026,15,15,6995.91446488882,466.3942976592546,26589.5723244441,14187.630486683114,258,44,1,25,True,,0.6914759000064805,208,193,50,15,1516.0000000000007,161.99999999999898,5317.914464888818,192.4689466279533
2027,14,14,7552.274343605806,539.4481674004147,28886.37171802904,14160.13849161932,287,18,0,25,True,,0.6714213000086602,239,225,48,10,1693.0,81.99999999999963,5777.274343605806,101.46618934859544
2028,13,13,7268.935114785274,559.1488549834826,27624.675573926357,10675.821029609113,282,18,0,25,True,,0.47864560000016354,245,232,37,4,1664.0000000000016,80.00000000000003,5524.935114785272,660.7175231238316
2029,11,11,6604.518896248328,600.410808749848,22332.59448124164,8400.973082604585,349,14,0,25,True,,0.289190299983602,325,314,24,2,2074.000000000001,64.00000000000051,4466.518896248326,279.0137218587779
