seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
2017,12,12,7015.52659383368,584.6272161528067,25362.6329691684,9227.073733054047,314,18,0,25,True,,0.425287499994738,286,274,28,6,1864.9999999999986,78.00000000000071,5072.526593833681,379.2761682386972
2018,12,12,7073.634155610884,589.4695129675737,24888.170778054424,10921.478104416963,340,17,0,25,True,,0.40697260000160895,314,302,26,6,2021.0000000000014,75.00000000000037,4977.634155610881,560.5427841378878
2019,12,12,7155.411245998943,596.2842704999119,25177.05622999472,9758.3858216988,342,25,1,25,True,,0.7172305000131018,304,292,38,5,2020.9999999999993,99.00000000000016,5035.411245998943,536.2928723068844
2020,10,10,7448.029359530114,744.8029359530113,26315.146797650566,10728.391049344931,359,13,1,25,True,,0.4453337000159081,330,320,29,16,2126.0000000000014,59.00000000000089,5263.029359530113,1014.6670312366632
2021,15,15,7175.990496042896,478.3993664028597,27329.952480214466,13641.190441902234,272,23,0,25,True,,0.7134801000065636,231,216,41,12,1611.000000000003,99.00000000000009,5465.990496042894,440.84507899522396
2022,14,14,7615.168396230903,543.9405997307788,28140.84198115451,12769.187041617794,299,62,1,25,True,,0.6433358000067528,259,245,40,15,1773.0000000000002,214.00000000000216,5628.168396230901,166.12096880894387
2023,13,13,9173.489628117559,705.6530483167353,33902.44814058782,18603.592461699773,309,183,3,25,True,,0.7516380000161007,263,250,46,28,1818.0000000000007,574.9999999999927,6780.489628117563,593.3720357574875
2024,11,11,7222.805082262951,656.6186438420865,24604.025411314764,10814.516901597995,377,14,0,25,True,,0.47813470000983216,350,339,27,7,2237.999999999998,64.00000000000016,4920.805082262952,504.5006512857908
2025,13,13,6993.698082209956,537.976775554612,26738.490411049785,10217.252890214633,262,21,0,25,True,,0.796403200016357,232,219,30,5,1556.9999999999995,89.00000000000054,5347.698082209956,0.0
2026,15,15,7261.733619699946,484.11557464666305,27818.668098499733,13477.288137486301,272,21,0,25,True,,0.8939870999893174,231,216,41,8,1605.0,92.99999999999979,5563.733619699946,0.0
2027,14,14,7065.09031288329,504.6493080630921,26275.451564416457,12626.02764417832,288,25,1,25,True,,0.7014452999865171,256,242,32,10,1706.9999999999998,102.99999999999945,5255.09031288329,0.0
2028,13,13,8867.454430754282,682.1118792887909,33737.27215377143,16973.956987681657,315,82,2,25,True,,0.6181692999962252,267,254,48,27,1848.0000000000007,271.99999999999875,6747.454430754277,568.5555529441554
2029,11,11,6769.45266849681,615.4047880451645,23247.263342484046,9459.538625924604,345,14,0,25,True,,0.3619268999900669,325,314,20,2,2056.0,64.00000000000013,4649.452668496809,278.81996274838184
