scene_id,scene_group,seed,N,family,error_mode,source_sha256,variant,K,T,T_over_K,move_m,n_measure,n_clear,n_safe,n_full_225,all_certified,failure,wall_s,detected,movement_s,measure_s,clear_s,n_switch,discovery_measure,refine_measure,no_signal,failed_clear,action_time_max_error,total_time_error,after_last_clear_s,full_success,truth_clear_match,action_count_match
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,COMPACT,10,5534.770352544254,553.4770352544253,22223.851762721275,150,57,3,0,True,,2.124455899989698,10,4444.770352544255,899.0,191.0,149,118,32,130,47,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,J,10,4149.603813580976,414.9603813580976,16158.019067904885,132,37,2,0,True,,0.28937779998523183,10,3231.603813580977,787.0,131.0,127,118,14,108,27,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,S,10,4808.853316315351,480.88533163153505,18749.266581576758,153,45,3,0,True,,0.5674715999921318,10,3749.853316315352,904.0,155.0,139,118,35,121,35,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,O,10,4799.451705206484,479.9451705206484,19147.258526032412,153,12,0,0,True,,0.22616749998996966,10,3829.4517052064816,914.0,56.0,149,118,35,130,2,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JS,10,3996.823070052039,399.6823070052039,14909.115350260197,140,53,4,0,True,,0.6707348999916576,10,2981.823070052039,836.0,179.0,136,118,22,110,43,1.1368683772161603e-13,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JO,10,3921.6639617282717,392.16639617282715,15253.319808641365,137,13,1,0,True,,0.6928275000245776,10,3050.663961728272,812.0,59.0,127,118,19,108,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,SO,10,4586.329655783231,458.6329655783231,18336.648278916146,144,14,0,0,True,,0.5220674999873154,10,3667.329655783229,857.0,62.0,137,118,26,119,4,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JSO,10,3746.0765414912394,374.60765414912396,14150.382707456198,144,13,1,0,True,,0.820877299993299,10,2830.07654149124,857.0,59.0,137,118,26,113,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-smooth,evaluation-10-boundary-1,200101,10,boundary,smooth,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,JSO_ALLSCAN,10,5321.07654149124,532.1076541491241,14150.382707456198,406,13,1,0,True,,0.9712453999964055,10,2830.07654149124,2432.0,59.0,402,380,26,375,3,0.0,0.0,0.0,True,True,True
evaluation-10-boundary-1-spatial,evaluation-10-boundary-1,200101,10,boundary,spatial,bb8e8268391385af086904e1b765f1e8a71408689b2dbb788eb5dc027366db7e,ORIGINAL,10,5566.230282255245,556.6230282255244,22096.151411276227,148,80,6,0,True,,2.8055479000031482,10,4419.230282255245,887.0,260.0,147,112,36,128,70,0.0,0.0,0.0,True,True,True
