variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
G15,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6475.727330902374,588.7024846274885,22618.636654511884,8093.17077222364,315,18,11,6,25,,True,5,49,0.9500701999058947,1.3496341000136454,297,286,18,0,1876.0000000000014,75.99999999999818,4523.727330902375,229.7790626103997,7,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e20b97612b0dbb4a54fd1f6806c1d7f37d01be60c15433072f0010eb3b617deb,0,0,0,0,0,0,14
R2,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6475.727330902374,588.7024846274885,22618.636654511884,8093.17077222364,315,18,11,6,25,,True,5,49,1.2315967000031378,1.3104346999898553,297,286,18,0,1876.0000000000014,75.99999999999818,4523.727330902375,229.7790626103997,7,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e20b97612b0dbb4a54fd1f6806c1d7f37d01be60c15433072f0010eb3b617deb,0,0,0,0,0,0,14
R4,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6475.727330902374,588.7024846274885,22618.636654511884,8093.17077222364,315,18,11,6,25,,True,5,49,1.0610938000609167,1.135195000009844,297,286,18,0,1876.0000000000014,75.99999999999818,4523.727330902375,229.7790626103997,7,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e20b97612b0dbb4a54fd1f6806c1d7f37d01be60c15433072f0010eb3b617deb,0,0,0,0,0,0,14
B20,mixed_endpoint_50019,50019,mixed,endpoint,6a8a96fa28c28125d8d9b2a0de43c989b16ad66d42d83fb211d77b2498b03d8d,16,16,6511.062201012829,406.9413875633018,25210.311005064155,13618.235864715776,211,68,16,8,21,,True,13,67,9.794187500170665,9.925772699993104,167,151,44,18,1232.9999999999986,235.99999999999923,5042.062201012831,0.0,52,178,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,59b18ce0d9ea646d8e37f2bf7153ebd5711bda883dd5087d7c9656258e718ce2,0,0,0,0,0,0,58
H400,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6768.613400824196,615.3284909840178,23913.06700412099,9084.171059241662,315,30,11,4,25,,True,6,55,1.175381599838147,1.2381248000019696,296,285,19,0,1874.0000000000016,111.99999999999844,4782.613400824196,580.6318579402432,19,299,-1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,f20f39b26c9509f22f4bd333c3f2f791223be737455ffb0efa311e378f3b612a,0,0,0,0,0,0,11
H200,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6598.5523909231215,599.8683991748293,23042.76195461562,8519.336382968366,316,29,11,4,25,,True,5,57,1.4065346999268513,1.480753099982394,297,286,19,0,1881.0000000000002,108.99999999999898,4608.5523909231215,229.7790626103997,18,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,116f39a66b144bdb6735257d1294a9cbe47e82cd4761eca0d3019c7daad0dfaf,0,0,0,0,0,0,18
N50,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6475.727330902374,588.7024846274885,22618.636654511884,8093.17077222364,315,18,11,6,25,,True,5,49,0.8185756999882869,1.1983045999950264,297,286,18,0,1876.0000000000014,75.99999999999818,4523.727330902375,229.7790626103997,7,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e20b97612b0dbb4a54fd1f6806c1d7f37d01be60c15433072f0010eb3b617deb,0,0,0,0,0,0,14
N20,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6475.727330902374,588.7024846274885,22618.636654511884,8093.17077222364,315,18,11,6,25,,True,5,49,0.8694677000166848,1.2035934000159614,297,286,18,0,1876.0000000000014,75.99999999999818,4523.727330902375,229.7790626103997,7,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,141bba4030d50eeb22d48b8d546070b430a6f1dd4f268d46bd687ac5e4390e22,0,0,0,0,0,0,14
B60,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6204.912144522639,564.0829222293308,21524.560722613183,6144.107417330953,306,19,11,7,25,,True,10,41,2.7738002999976743,2.846473600016907,291,280,15,1,1821.0000000000016,79.00000000000192,4304.912144522637,228.91495182943981,8,291,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e34b226e3c27af78d0454d4c7c710510a2ecd591c79b589e2827fdcb52e1b79b,0,0,0,0,0,0,17
ER,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6480.6156600290515,589.1468781844592,22533.07830014527,8007.612417857023,314,27,11,7,25,,True,5,47,1.2065745000145398,1.3077527999994345,297,286,17,0,1871.0000000000011,102.99999999999969,4506.615660029051,229.7790626103997,16,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,b556d8520f131e36ca68d038b6dfd1d01671dcdc9973c5ac0170f620be54b663,0,0,0,0,0,0,12
EN,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6480.6156600290515,589.1468781844592,22533.07830014527,8007.612417857023,314,27,11,7,25,,True,5,47,0.9085410999541637,1.3303278000093997,297,286,17,0,1871.0000000000011,102.99999999999969,4506.615660029051,229.7790626103997,16,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,b556d8520f131e36ca68d038b6dfd1d01671dcdc9973c5ac0170f620be54b663,0,0,0,0,0,0,12
baseline,mixed_endpoint_50022,50022,mixed,endpoint,80b2ed1b9f1dcb8d9fa459702964a132a50defed83fd043cc3f08336b04a6883,10,10,6954.621948242108,695.4621948242109,25648.109741210545,9535.695862421897,300,11,10,0,25,,True,7,56,0.9433209999406245,0.9979536000173539,272,262,28,2,1771.9999999999986,53.0000000000001,5129.621948242108,904.7926366196843,1,272,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,3bd46351ea71ce626f5aa65b616d94db55e75405e3e5102b6ee1bc91f9ef527b,0,0,0,0,0,0,0
ERN,mixed_endpoint_50021,50021,mixed,endpoint,49d74d7a8b23d5959bcad81969d0febe7c70d4888f2280949a7940327db5f0cd,11,11,6480.6156600290515,589.1468781844592,22533.07830014527,8007.612417857023,314,27,11,7,25,,True,5,47,0.899968100071419,1.2760173999995459,297,286,17,0,1871.0000000000011,102.99999999999969,4506.615660029051,229.7790626103997,16,301,-2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,b556d8520f131e36ca68d038b6dfd1d01671dcdc9973c5ac0170f620be54b663,0,0,0,0,0,0,12
